time,rainfall_mm
2020-02-01,8.0
2021-01-01,0.4
2021-01-02,4.6
2021-01-03,4.6
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,1.0
2021-01-07,1.0
2021-01-08,6.2
2021-01-09,0.2
2021-01-10,0.0
2021-01-11,2.4
2021-01-12,1.6
2021-01-13,1.8
2021-01-14,3.4
2021-01-15,3.6
2021-01-16,15.0
2021-01-17,0.4
2021-01-18,7.6
2021-01-19,6.4
2021-01-20,20.0
2021-01-21,6.6
2021-01-22,1.4
2021-01-23,0.6
2021-01-24,9.2
2021-01-25,0.2
2021-01-26,23.4
2021-01-27,10.8
2021-01-28,7.8
2021-01-29,17.2
2021-01-30,13.6
2021-01-31,27.4
2021-02-01,9.6
2021-02-02,2.4
2021-02-03,0.2
2021-02-04,6.2
2021-02-05,2.2
2021-02-06,0.8
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,5.0
2021-02-10,0.2
2021-02-11,0.8
2021-02-12,0.0
2021-02-13,21.0
2021-02-14,11.6
2021-02-15,0.8
2021-02-16,4.0
2021-02-17,12.4
2021-02-18,2.8
2021-02-19,11.0
2021-02-20,8.4
2021-02-21,3.0
2021-02-22,0.2
2021-02-23,0.0
2021-02-24,2.6
2021-02-25,0.0
2021-02-26,0.2
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,4.0
2021-03-03,4.8
2021-03-04,0.4
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,14.4
2021-03-11,7.4
2021-03-12,15.0
2021-03-13,3.6
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,0.2
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,0.0
2021-03-23,0.0
2021-03-24,1.0
2021-03-25,0.4
2021-03-26,6.8
2021-03-27,1.4
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.2
2021-04-08,0.8
2021-04-09,0.4
2021-04-10,0.8
2021-04-11,0.2
2021-04-12,0.2
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,0.0
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,0.0
2021-04-20,0.0
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.0
2021-04-24,0.0
2021-04-25,0.0
2021-04-26,0.0
2021-04-27,2.2
2021-04-28,3.8
2021-04-29,1.6
2021-04-30,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,2.8
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,8.6
2021-05-07,9.6
2021-05-08,21.2
2021-05-09,0.6
2021-05-10,3.0
2021-05-11,4.4
2021-05-12,7.4
2021-05-13,0.0
2021-05-14,8.4
